1048 3051 2888 102
1560 1203 1496 3130 4261
4303 343 766 1925 1936
1905 2922 2588 3370 3271 3753
3078 4373 4101 4678 4866
709 134 85 251 1350 1914
1680 2762 2821 2837 1952 2741
2605 2731 2735 2879 2752 2653
2652 2832 2808 2768 2690 2674
2565 2710 1314 1973 2791 2736
1976 2204 2859 2781 2618 2783
2683 2835 2832 2755 2802 2784
2565 2836 2812 2756 2805 2792
2628 2699 2834 2876 2679 2688
2518 2758 2744 5833 1060 2779
2708 2699 2748 2379 2503 2566
2294 2554 2511 2225 2471 2276
2072 2497 2297 2499 2470 2346
2252 2454 2382 2418 2360 2492
2395 2550 2365 2319 1692 341
2427 2265 7510 2357 2410 2486
2259 2501 2494 2525 2336 2396
2536 2170 2446 2520 2442 2645
2518 2421 2556 2470 2555 2532
2366 2474 2406 2488 2393 1702
405 2273 2446 2402 2334 2503
2303 2424 2432 2346 2531 2438
2254 2456 2497 2373 2527 2439
2241 2434 2271 2341 2468 2400
2384 2315 2478 2546 2342 2440
1951 763 2418 2480 2370 2492
2442 2372 2426 2187 2061 1721
2011 1945 2094 1883 2191 2192
2002 2182 2095 2179 2247 1949
2043 2328 2025 1776 2207 2037
1792 1465 1782 4255 2131
1525 2076 2097 2190 2201 2265
2072 2083 2331 2733 2741 2815
2585 2721 2624 2778 2681 2728
2529 2629 1818 1806 1994 2312
2019 2092 1954 2113 3674 3789
1655 1774 1831 1634 1768 1751
1856 1726 1653 1731 1796 1798
1585 1753 1983 1895 1846 2038
1660 1619 1700 1710 1053 1791
1663 2233 2218 838 2568 163
2918 1812 1705 1511 1942 1580
1255 1311 1291 1835 1641 1631
1715 1777 1877 1778 1578 1290
1791 1825 1967 1907 2541 2619
2375 2803 2710 2855 2619 2519
1468 319 2586 2472 2664 2535
2616 2537 2450 2614 2574 2620
2631 2503 1563 1932 1659 1815
1536 1704 1788 1738 1701 1732
1831 1724 1997 1541 1575 1752
1577 1518 4220 1806 1802 1824
1842 1736 1809 1764 1836 1773
1853 1683 1774 1764 1713 1689
1800 1801 1893 1645 1812 1611
1575 1936 1772 2522 2636 2638
2522 2562 2053 509 2608 2651
2583 2514 2597 2620 2717 2731
2641 2707 2569 2717 2553 2625
2782 2726 1977 2508 2721 2651
2646 2758 2747 2778 2930 2783
2635 2502 2945 2161 3302 2638
2757 2817 2653 2788 2789 2852
2422 2803 2522 2704 2441 2795
2544 2566 2734 2660 7802
1736 2660 2923 2733 1763 2468
934 2579 2720 2626 2434 1901
1496 2678 8062 2705 2592 2618
2459 2753 2648 2817 2537 2807
2142 2742 2740 2751 2995 2420
2646 2859 2538 2826 2736 2540
2549 2413 2769 2095 2766 2569
2289 3292 2685 2766 2664 2726
2873 1801 2156 2673 2660 2788
2585 2478 2662 2699 2686 2702
2619 2723 2750 2575 2725 2824
2487 2745 2779 2680 2818 2561
2545 2147 2757 151 2293 2201
2306 2453 2288 2335 2391 2400
1826 2290 2424 2208 2573 2596
2506 2663 2652 2556 2692 2517
2065 2307 2241 2478 2156 2494
2296 2358 2441 1251 399 2339
2152 2412 2234 2443 2173 2360
2187 2281 2364 2289 2453 2154
333 1994 2111 2187 1792 1571
1812 2379 2486 2278 2377 2363
2336 2263 2361 2295 2374 3987
2316 2305 2316 2347 2249 2366
2295 2196 2316 2289 2192 2298
2336 2362 2449 2615 2706 2647
2568 2580 2656 2714 2593 1851
2543 2707 2641 2690 2608 2125
423 2711 2642 2778 2657 2692
2353 2588 2611 2711 2624 2822
2726 2711 2723 2689 2612 2586
2609 2648 2757 3026 2701 2810
3061 2607 2602 2708 2645 2715
2305 2501 2633 2566 2639
2511 2669 2587 2571 2550 2586
2584 2605 2636 2655 2596 2701
2536 2679 2613 2705 2706 2703
4636 2644 2817 2493 2818 2622
2064 2628 2197 2166 2693 2524
2562 2730 2604 2708 2716 2627
2635 2608 2700 2680 2680 2799
2627 2323 2428 2268 2261 2138
2747 2737 2633 2571 2651 2615
2655 2619 2533 2167 2921 88
2388 2697 2775 2767 2792 2482
2676 2758 2725 2713 2751 2575
1870 2571 2768 2598 2768 2614
2572 2813 2773 2706 2775 2677
591 2701 2754 2764 2773 1647
425 2616 2576 2673 2615 2476
2671 2690 2574 2670 2601 2754
2503 2632 2544 2755 2638 2751
2392 2625 2625 2673 2630 2592
2034 2739 2879 2761 2654 2608
2281 599 2559 2659 2708 2778
2289 2831 2610 2703 2373 2672
2565 2570 2828 2687 2736 2808
2778 2838 2590 2805 2712 2755
2514 2535 2646 2764 2568 2838
2557 2280 2463 2631 2612 2729
7617 2626 2539 2637 2664 2674
2571 2540 2646 7785 2613 2726
2530 2643 2679 2661 2749 2677
1983 2844 2403 2528 2696 2706
2073 2725 2337 3288 2700
2627 2645 2672 2723 2723 2710
2575 2648 2745 2838 2650 2757
2715 2851 2697 2686 2696 2789
2518 2711 2724 2586 2790 2617
2705 2659 2688 2715 2504 475
2566 2607 2671 2676 2610 2755
2643 2674 2632 2536 2643 2756
2539 2852 2622 2554 2162 2661
2638 2824 2673 2672 2762 2668
2685 2567 2695 2679 2628 2367
2163 2715 2518 2682 2519 2694
2223 2597 2622 2618 2430 2787
2527 2727 2487 2608 2783 2518
2854 2709 2554 2702 2707 2570
2606 2663 2636 2779 2580 2690
2130 3336 4149 2377 2201 2461
2301 2415 2240 2472 2312 2355
1903 2142 2424 2305 2434 2287
2114 2366 2434 2247 2404 2398
2135 2408 2294 2379 2357 2299
2348 2337 826 3013 1975 2191
1984 2344 2192 2392 2381 2349
2202 2428 2390 2337 2369 2302
2264 2336 2214 2263 2361 2426
2178 2234 2233 2187 2363 2333
2307 2202 2336 1558 57 2433
2109 2286 2403 2431 2170 2504
2292 2255 2554 2217 2411 2378
2364 2432 2476 2262 2369 2435
2166 2385 2116 2871 2706 2651
2799 2657 2830 2815 2234 2030
2407 2555 2690 2806 1741 2129
1791 2025 2076 2030 2186 2088
1960 2284 2119 2166 2653 2666
1818 2791 2600 2824 1639 2052
1746 1776 1864 2036 2007 1515
1432 1833 2010 2026 1878 1798
1887 1799 2029 1713 1854 1980
1889 2044 1952 1890 1997 1737
1875 2051 2083 2021 1899 2646
2567 2550 2805 2596 2542 2646
2143 6971 61 2655 2523
2613 2650 2520 2711 2757 2477
2625 2534 2719 2640 2638 2631
2478 1080 2617 2445 2711 2792
2662 2697 2617 2502 2647 2618
2540 2603 2654 1220 2052 2641
2706 2476 2676 2648 2700 2755
2569 2660 2739 2609 2666 2723
2606 2497 2762 2576 2599 2778
2422 2786 2527 2592 2719 2643
2588 2671 2639 2694 1857 453
2599 2746 2604 2511 2535 2730
2639 2696 2727 2767 2649 2786
2654 2684 2805 2623 2561 2476
2347 2157 2259 2697 2645 2500
2577 2645 2575 2585 2573 2151
698 2602 7799 2700 2571 2569
2481 2681 2592 2634 2636 2736
2583 2643 2619 2597 3004 2543
7677 2789 2841 2660 2781 2772
2544 1982 2696 2748 2639 2580
1799 600 2626 2607 2739 2684
2637 2645 2775 2709 2683 2586
2599 2879 2829 2784 2684 2800
2553 2772 2836 2494 1870 1759
1936 2138 2012 1863 1890 1319
1730 1551 4321 1958 1854 2681
2480 2744 2510 2704 2569 2630
2423 2555 2683 2646 2663 2691
2577 2641 2673 2693 2683 2653
2511 2494 2796 2733 2749 2747
2528 2599 2265 5765 2522
2461 2693 2674 2570 2524 2653
2534 2714 2678 2557 2684 2536
2425 2751 2512 2556 2746 2523
2597 2644 2595 2777 2799 2555
2487 2654 7788 2697 1959 456
2686 2673 1905 1985 2104 1836
1762 1981 1860 1944 2009 2025
1933 1981 2035 1304 1833 2001
1832 2175 2091 1865 1984 1725
1808 2054 1851 2064 1834 1335
4313 1967 1932 2056 2039 1846
1629 1925 1901 1741 2004 1908
1846 1983 1970 1945 2015 1850
1678 2054 1960 1973 2252 2542
2423 2690 2569 1672 2025 1788
1358 140 2523 2613 2738 2401
7634 2546 2529 2649 2542 2625
2645 2640 2540 2616 2249 2460
2622 2599 2577 2433 2664 2584
2501 2485 2586 2677 2511 1994
2601 2183 2220 2722 2444 2614
2673 2557 2652 2691 2561 2621
2611 2545 2665 2560 2468 2535
2592 2481 2068 2450 2604 2645
2656 2764 2552 2782 2673 2689
2669 2631 2097 3376 4260
2522 2588 2804 2485 2824 2671
2298 2780 2632 2656 2580 6674
2100 2091 2007 1997 2190 1982
1968 2177 1932 1988 2018 2012
1946 2028 2091 2290 2293 3250
2266 1991 2252 2180 2266 2332
1971 2310 2349 2326 2287 2383
2155 2396 2393 2283 2325 2219
2272 2275 2250 2299 2252 2411
2329 2014 2275 2526 2105 2038
2851 3486 2135 2135 2230 2392
2730 2713 2754 2011 2794 2675
2569 2692 2747 2443 2584 2674
2754 2602 2843 3031 2812 2479
2633 2589 2757 2602 2581 2531
2700 678 2327 2809 2499 2747
2622 2543 2718 2698 2662 2664
2581 2652 2827 2723 2817 2760
2743 2680 2702 2644 2701 2808
2662 2654 2661 2773 2734 2643
2584 2487 1934 681 2561 2725
2491 2656 2790 2556 2406 2355
2328 2317 2355 2237 2446 2529
2167 2485 2617 2351 2388 2464
2209 2419 2403 2401 2248 2110
2294 2247 2374 1729 267 2191
2181 2248 2354 2204 2204 1667
2223 2317 2433 2158 2413 2255
2325 2332 2260 2329 2439 2113
2372 2319 2393 2228 2241 2305
1898 2153 2443 2224 1722 1912
2273 2430 2677 2470 2969 2801
2744 2808 2533 1267 2729 2704
2496 2708 2678 2715 2824 2808
850 2530 2826 2748 2713 2670
2533 2685 2556 2633 2736 2266
2809 3854 2595 2719 2507
2528 2451 1498 1996 1968 1916
1659 1865 1594 1827 2010 2121
1530 2013 2135 1983 2147 1758
1448 1963 1614 1727 1780 2031
1994 1860 363 2318 2126 2128
1995 2102 2058 2137 1962 2061
1899 2142 1969 1843 1912 2061
