4443 2337 3155 762 2277
2083 2160 2813 4061 541
598 100 1769 2132 2994
2492 1787 2241 3039 3171 3606
3929 3618 699 2126 1717
24 704 4538 985 1131 526
124 441 1801 1794 1685 1583
1053 1839 1963 1866 1897 1855
1800 1827 1844 1835 1885 1656
1819 1930 1936 1862 1971 2592
1943 1785 1789 1921 1306 1969
1623 1381 1759 1912 1991 1696
1736 1789 2013 2066 1836 1907
1980 1728 1968 1995 1645 1624
1882 2035 1840 1808 1742 1476
2483 3176 1632 1901 1866 1956
1838 1984 1910 1975 1865 1922
1864 1958 1972 1994 1906 1965
1859 1983 1911 1739 2552 2496
2356 2584 2612 2602 2644 2057
1427 179 2079 1819 1660 1630
1730 1914 1834 1490 1676 1746
1726 1715 1702 1803 1596 1651
1529 1598 1652 1255 1211 1757
1491 1163 1336 1808 1569 1696
2033 2057 1449 4443 1940 1904
1812 1925 1859 1906 1967 1801
1807 1851 1912 1872 1833 1889
1518 1939 1496 1035 2381 2398
2371 2756 2364 2596 2747 2522
2556 2728 2433 2173 488
2342 2474 2572 2344 2660 2601
2431 2628 2620 2685 2672 2656
2485 2714 2532 2791 2464 2539
2502 2591 2593 2613 2524 2574
2459 2558 2582 2517 2783 2225
2300 2564 2682 2655 2556 2565
2606 2638 2627 2598 2564 2706
2616 2395 2682 2723 2653 2610
2535 1741 1362 1950 2063 2093
1519 1858 1989 1529 1827 1825
1138 1668 3835 2131 2016 2095
1875 1954 1738 1884 1864 1956
1740 1913 1912 1924 1789 1831
1873 1867 2086 1954 2138 1881
1836 1757 1968 1802 1511 1758
1487 1857 795 848 1678 2119
1335 2000 1946 1056 1971 1855
1605 2036 2006 1793 1978 1626
1397 1499 1991 1689 1710 1735
1710 1923 1877 1733 1898 1849
1650 2030 1985 1304 4093 1758
1684 1902 1668 1530 1990 1687
1621 1854 1694 1532 1678 1798
1956 1851 1978 1307 2024 2057
1768 1991 1861 1274 1770 2006
1605 1809 1781 2082 1499 4382
1980 1946 1748 1899 1647 1861
1464 1456 1912 1758 1848 1867
1502 1809 1614 1629 1566 1733
1469 1601 1629 2363 1808 1984
1807 1910 2055 1980 1776 1637
4351 1993 2001 2122 1876
1889 1948 1400 1998 1986 1943
1933 1620 1814 1741 1775 1819
1778 2030 1997 1852 2083 2036
1840 1946 1996 2120 2012 1921
1837 1669 4315 1871 1955 1877
1953 85 1471 1695 1941 1850
1899 1874 1777 1819 1809 1921
1702 1852 1879 1991 1873 1876
1267 2110 1922 1716 1868 1774
1789 1739 1667 4533 1837 1935
1527 1917 1901 1920 1904 1752
1645 1883 1616 1325 1823 1770
1598 1759 1678 1758 1740 2056
